,AUD Australian dollar,BGN Bulgarian lev,BRL Brazilian real,CAD Canadian dollar,CHF Swiss franc,CNY Chinese/Yuan renminbi,CYP,CZK Czech koruna,DKK Danish krone,EEK Estonian kroon,EUR European Euro,GBP British pound,HKD Hong Kong dollar,HRK Croatian kuna,HUF Hungarian forint,IDR Indonesian rupiah,ILS Israeli new sheqel,INR Indian rupee,ISK Icelandic króna,JPY Japanese yen,KRW South Korean won,LTL Lithuanian litas,LVL Latvian lats,MTL,MXN Mexican peso,MYR Malaysian ringgit,NOK Norwegian krone,NZD New Zealand dollar,PHP Philippine peso,PLN Polish zloty,ROL,RON Romanian leu,RUB Russian ruble,SEK Swedish krona,SGD Singapore dollar,SIT,SKK,THB Thai baht,TRL,TRY Turkish new lira,USD United States dollar,ZAR South African rand
1999-01-04,1.6201543812,,,1.5271863602000002,1.37144796,,0.49394350670000003,29.779455424499996,6.3195351599,13.272202900999998,0.8482483671,0.6031894139,7.7472219866,,213.3174993638,,,,69.11527695310001,113.4362541352,1186.351683773,4.0011875477,0.5656120111999999,0.37594367630000003,,,7.5112392909000025,1.8855712953000001,,3.4533887522000004,11121.3843413351,,,8.0325727373,1.6586648571,160.3571125626,36.4670455509,,315780.8126219357,,1.0,5.8832810247000005
1999-01-05,1.6067854113999998,,,1.5237489398,1.3675148431,,0.49389312979999994,29.6157760814,6.3184902460000005,13.271077184100001,0.8481764206999999,0.6040712468,7.747328244299999,,212.72264631040002,,,,69.1518235793,111.0771840543,1164.5547073791001,4.0011874469999995,0.5646310433,0.3759117897,,,7.4423240034,1.8669211196000002,,3.4134860050999998,11168.7871077184,,,7.974978795599999,1.6670907549,160.1145038168,36.342663274,,316213.7404580152,,1.0,5.7654792197
1999-01-06,1.6026569019999999,,,1.5082176616,1.3723920634,,0.4956144086,29.6772545346,6.3401175167999995,13.324193136300002,0.8515711488,0.6025717449,7.750149025,,213.463339862,,,,69.4371114707,111.9134803713,1157.7450395981,4.001873456499999,0.5662096568,0.37639444780000003,,,7.4371966278,1.8640892447,,3.4118198075,11213.4888869965,,,7.923869539299999,1.6775100059999999,160.6914757728,36.4285106021,,316944.562718215,,1.0,5.731669931
1999-01-07,1.5882049518999999,,,1.5132393398,1.3897008253,,0.5002321183,29.991403026100002,6.3988136176,13.4513411279,0.8596973865,0.6068174003,7.748538514400001,,215.0017193948,,,,69.6870701513,111.27063273729999,1149.552957359,4.0017193948,0.569721458,0.37938445670000004,,,7.418758597,1.8510144429,,3.4529745530000002,11255.1581843191,,,7.892022008300001,1.6709078404,162.310866575,36.7649587345,,318214.4085281981,,1.0,5.870271664400001
1999-01-08,1.5786945707,,,1.5132515653,1.3841667381,,0.4990736770000001,29.9665494468,6.384166738099999,13.4201904108,0.8577064928,0.608456986,7.7452611715999975,,214.55527918349998,,,,69.465648855,111.5790376533,1172.2531949566999,4.0006003945,0.5707179003,0.3790204992,,,7.3676987735,1.8489578866,,3.4619607169999997,11272.836435371799,,,7.8608800069,1.6757011751,161.9692941076,36.5039883352,,318921.00523200963,,1.0,5.8199674072
1999-01-09,1.5786945707,,,1.5132515653,1.3841667381,,0.4990736770000001,29.9665494468,6.384166738099999,13.4201904108,0.8577064928,0.608456986,7.7452611715999975,,214.55527918349998,,,,69.465648855,111.5790376533,1172.2531949566999,4.0006003945,0.5707179003,0.3790204992,,,7.3676987735,1.8489578866,,3.4619607169999997,11272.836435371799,,,7.8608800069,1.6757011751,161.9692941076,36.5039883352,,318921.00523200963,,1.0,5.8199674072
1999-01-10,1.5786945707,,,1.5132515653,1.3841667381,,0.4990736770000001,29.9665494468,6.384166738099999,13.4201904108,0.8577064928,0.608456986,7.7452611715999975,,214.55527918349998,,,,69.465648855,111.5790376533,1172.2531949566999,4.0006003945,0.5707179003,0.3790204992,,,7.3676987735,1.8489578866,,3.4619607169999997,11272.836435371799,,,7.8608800069,1.6757011751,161.9692941076,36.5039883352,,318921.00523200963,,1.0,5.8199674072
1999-01-11,1.5674647766,,,1.5094649493999999,1.391995851,,0.5027833002000001,30.4028005878,6.4338317919,13.5245915809,0.8643789437,0.608868528,7.74958942,,215.8354222491,,,,69.6257239174,109.19699196129999,1172.702912957,4.0017287579000005,0.5692799722999999,0.3807589247,,,7.3977871899,1.8374103206999999,,3.4851759011000003,11219.6386896015,,,7.864551819500001,1.6732647593,163.3377992912,36.743884519,,321956.0895496586,,1.0,5.8699974069000005
1999-01-12,1.5703125,,,1.5097222222,1.3951388888999998,,0.5046875,30.5989583333,6.4609375,13.582118055599999,0.8680555556,0.6133680556000001,7.7470486111,,216.31944444439998,,,,69.9565972222,112.5260416667,1174.8524305556,4.0006944444,0.5730034722,0.3822048611,,,7.473958333300001,1.8411458333000001,,3.5008680556,11208.333333333301,,,7.8953993056,1.6790798611000002,164.5270833333,36.8836805556,,323007.8125,,1.0,6.0400173611
1999-01-13,1.5854904632,,,1.5431709809,1.3565224796000002,,0.49548705719999997,30.7501702997,6.337874659400001,13.3230585831,0.8514986376000001,0.6032016349,7.7493188011,,217.14066757490002,,,,69.1757493188,112.3041553134,1173.3055177111999,4.0008514986,0.5684604904999999,0.3776396458,,,7.448058583099999,1.8514986376,,3.5791042234,11196.355585831101,,,7.7826975477,1.6872445504,162.8079019074,36.4390326975,,320461.5122615804,,1.0,6.1770265667999995
1999-01-14,1.5749592380000002,,,1.5195228696,1.3673732086000001,,0.4993563889,30.634171458,6.3877971338,13.4271003175,0.8581481164,0.6060241998,7.748047712999999,,217.83231785810003,,,,69.4499270574,113.91058096629999,1186.158070883,4.0020595555,0.5714408307,0.3787865786,,,7.4869132412,1.8510254869999998,,3.547155239,11270.9173603364,,,7.839183042999999,1.6832575302000001,162.1420235133,36.6918390114,,321892.2165965846,,1.0,6.119969106699999
1999-01-15,1.5816273869,,,1.5307930501,1.3748494753,,0.5004902804,30.844658524,6.402976088099999,13.458283158399999,0.8601410631,0.6054532943,7.7500430071,,217.90813693450002,,,,69.4133837949,113.31498365729999,1183.3476690177001,4.0010321693,0.5691553415,0.38026836399999997,,,7.4961293652,1.8563564425,,3.6125924651999997,11322.896955100601,,,7.8763117151,1.6832960606,160.9610356098,36.760708756199996,,321858.7648374333,,1.0,6.2099604335
1999-01-16,1.5816273869,,,1.5307930501,1.3748494753,,0.5004902804,30.844658524,6.402976088099999,13.458283158399999,0.8601410631,0.6054532943,7.7500430071,,217.90813693450002,,,,69.4133837949,113.31498365729999,1183.3476690177001,4.0010321693,0.5691553415,0.38026836399999997,,,7.4961293652,1.8563564425,,3.6125924651999997,11322.896955100601,,,7.8763117151,1.6832960606,160.9610356098,36.760708756199996,,321858.7648374333,,1.0,6.2099604335
